Repositorio;Anos;nº PullRequests;nº Releases;Último Update (dd);Linguagem Mais Comum;Issues Fechadas ( % );Estrelas
freefq/free;3.76;0;0;-1;;0.0;36141
Light-City/CPlusPlusThings;4.66;64;0;-1;C++;0.0;36138
phaserjs/phaser;10.92;1651;148;-1;JavaScript;0.0;36098
metabase/metabase;9.1;19750;442;-1;Clojure;0.0;35999
0voice/interview_internal_reference;4.75;35;0;0;Python;0.0;35918
iina/iina;7.22;610;43;-1;Swift;0.0;35916
sudheerj/reactjs-interview-questions;5.78;135;0;-1;JavaScript;0.0;35910
preactjs/preact;8.5;1593;199;-1;JavaScript;0.0;35865
alist-org/alist;3.21;512;108;-1;Go;0.0;35855
pingcap/tidb;8.51;27219;186;-1;Go;0.0;35839
acmesh-official/acme.sh;8.21;1276;41;-1;Shell;0.0;35768
pyenv/pyenv;11.53;841;92;-1;Roff;0.0;35762
slatedocs/slate;10.49;297;28;-1;SCSS;0.0;35757
eugenp/tutorials;10.87;11200;0;0;Java;0.0;35726
dylanaraps/pure-bash-bible;5.74;28;0;-1;Shell;0.0;35654
ant-design/ant-design-pro;6.54;959;26;-1;TypeScript;0.0;35586
lyswhut/lx-music-desktop;4.57;30;105;-1;TypeScript;0.0;35536
QSCTech/zju-icicles;7.7;205;0;-1;HTML;0.0;35489
spf13/cobra;10.52;568;21;-1;Go;0.0;35433
DovAmir/awesome-design-patterns;5.76;30;0;-1;;0.0;35347
lerna/lerna;8.27;933;232;-1;TypeScript;0.0;35260
vlang/v;5.08;10053;192;-1;V;0.0;35241
Stability-AI/stablediffusion;1.29;18;0;-1;Python;0.0;35231
GokuMohandas/Made-With-ML;5.35;147;0;-1;Jupyter Notebook;0.0;35219
open-guides/og-aws;7.66;498;0;-1;Shell;0.0;35212
AobingJava/JavaFamily;4.33;2;0;-1;;0.0;35187
gto76/python-cheatsheet;6.12;14;0;-1;Python;0.0;35114
go-gorm/gorm;10.38;686;2;-1;Go;0.0;35005
exacity/deeplearningbook-chinese;7.26;16;7;0;TeX;0.0;34944
alvarotrigo/fullPage.js;10.47;301;90;-1;JavaScript;0.0;34933
satwikkansal/wtfpython;6.53;97;2;-1;Python;0.0;34908
cli/cli;4.43;2002;128;-1;Go;0.0;34869
geekan/MetaGPT;0.69;425;17;-1;Python;0.0;34830
koajs/koa;10.64;475;0;0;JavaScript;0.0;34731
google/leveldb;9.54;61;21;-1;C++;0.0;34706
byoungd/English-level-up-tips;6.78;24;0;-1;HTML;0.0;34643
sahat/hackathon-starter;10.32;323;15;-1;JavaScript;0.0;34634
sickcodes/Docker-OSX;3.76;98;0;-1;Shell;0.0;34624
koalaman/shellcheck;11.32;274;29;-1;Haskell;0.0;34621
shadowsocks/shadowsocks-android;11.23;252;184;0;Kotlin;0.0;34592
airbnb/lottie-android;7.42;656;49;-1;Java;0.0;34579
istio/istio;7.31;24329;329;-1;Go;0.0;34578
nativefier/nativefier;8.68;261;99;0;TypeScript;0.0;34576
geekxh/hello-algorithm;3.78;26;0;-1;Java;0.0;34547
bannedbook/fanqiang;9.16;3;2;-1;Kotlin;0.0;34532
XingangPan/DragGAN;0.81;18;0;-1;Python;0.0;34531
vim/vim;8.56;338;0;-1;Vim Script;0.0;34505
NervJS/taro;5.92;3021;168;-1;TypeScript;0.0;34483
nodejs/node-v0.x-archive;14.79;218;0;0;;0.0;34473
moymix/TaskMatrix;1.02;21;0;-1;Python;0.0;34458
mingrammer/diagrams;4.1;254;40;-1;Python;0.0;34426
alibaba/arthas;5.53;509;52;-1;Java;0.0;34390
SheetJS/sheetjs;11.27;106;0;-1;;0.0;34304
bumptech/glide;10.67;533;47;-1;Java;0.0;34256
TencentARC/GFPGAN;2.98;14;8;0;Python;0.0;34195
unknwon/the-way-to-go_ZH_CN;10.96;592;0;0;Go;0.0;34036
oobabooga/text-generation-webui;1.22;896;33;-1;Python;0.0;34010
jondot/awesome-react-native;8.96;912;0;-1;JavaScript;0.0;33946
dotnet/aspnetcore;10.0;15100;210;-1;C#;0.0;33873
mitmproxy/mitmproxy;14.07;2216;61;-1;Python;0.0;33868
apache/airflow;8.91;19399;78;-1;Python;0.0;33805
BVLC/caffe;10.49;1087;14;-1;C++;0.0;33786
carbon-app/carbon;6.73;646;215;-1;JavaScript;0.0;33773
zenorocha/clipboard.js;8.48;117;42;0;JavaScript;0.0;33732
odoo/odoo;9.83;6169;0;-1;Python;0.0;33731
coreybutler/nvm-windows;9.47;93;20;-1;Go;0.0;33730
formulahendry/955.WLB;4.95;18;0;-1;;0.0;33666
openai/gym;7.87;999;19;-1;Python;0.0;33651
freeCodeCamp/devdocs;10.38;674;0;-1;Ruby;0.0;33569
testerSunshine/12306;6.82;31;1;0;Python;0.0;33561
denysdovhan/wtfjs;6.65;124;25;0;JavaScript;0.0;33530
shadowsocks/shadowsocks;11.89;70;2;0;Python;0.0;33517
curl/curl;13.98;175;76;-1;C;0.0;33412
ClickHouse/ClickHouse;7.77;34990;534;-1;C++;0.0;33398
babysor/MockingBird;2.59;73;1;-1;Python;0.0;33398
date-fns/date-fns;9.43;1044;117;0;TypeScript;0.0;33397
jaredpalmer/formik;6.74;816;194;-1;TypeScript;0.0;33372
AFNetworking/AFNetworking;12.78;710;40;0;Objective-C;0.0;33334
adobe/brackets;12.26;4333;69;0;JavaScript;0.0;33317
bradtraversy/50projects50days;3.31;42;0;-1;CSS;0.0;33267
xitu/gold-miner;8.35;3563;0;0;;0.0;33230
aria2/aria2;13.29;243;24;-1;C++;0.0;33100
typeorm/typeorm;8.03;1968;32;-1;TypeScript;0.0;33023
junegunn/vim-plug;10.5;172;7;-1;Vim Script;0.0;32925
gulpjs/gulp;10.69;396;22;0;JavaScript;0.0;32858
Blankj/AndroidUtilCode;7.61;87;117;0;Java;0.0;32847
immutable-js/immutable-js;9.69;500;77;-1;TypeScript;0.0;32828
naptha/tesseract.js;8.72;163;52;-1;JavaScript;0.0;32794
jesseduffield/lazydocker;4.81;170;39;-1;Go;0.0;32701
Kong/insomnia;7.88;2382;416;-1;JavaScript;0.0;32636
XX-net/XX-Net;9.15;362;387;-1;Python;0.0;32615
sorrycc/awesome-javascript;9.69;369;0;0;;0.0;32552
netty/netty;13.34;3342;0;-1;Java;0.0;32535
rapid7/metasploit-framework;12.53;10442;0;-1;Ruby;0.0;32465
lllyasviel/Fooocus;0.58;339;5;-1;Python;0.0;32403
google-research/google-research;5.43;29;0;-1;Jupyter Notebook;0.0;32388
huihut/interview;6.08;35;0;-1;C++;0.0;32377
tmux/tmux;8.77;1;35;-1;C;0.0;32360
lm-sys/FastChat;0.98;755;14;-1;Python;0.0;32289
google/material-design-lite;9.15;655;14;3;HTML;0.0;32274
google/googletest;8.62;798;7;0;C++;0.0;32249
WerWolv/ImHex;3.33;451;64;-1;C++;0.0;32147
novuhq/novu;2.53;3155;35;-1;TypeScript;0.0;32101
fxsjy/jieba;11.45;96;9;-1;Python;0.0;32097
shadowsocks/ShadowsocksX-NG;7.75;63;29;-1;Swift;0.0;32095
atlassian/react-beautiful-dnd;6.59;525;68;-1;JavaScript;0.0;32087
pocketbase/pocketbase;1.68;47;126;-1;Go;0.0;32077
zxing/zxing;12.41;285;31;-1;Java;0.0;32073
carbon-language/carbon-lang;3.87;2478;0;-1;C++;0.0;32063
bilibili/ijkplayer;10.77;35;0;0;C;0.0;32031
trpc/trpc;3.64;3043;199;-1;TypeScript;0.0;32026
docker/compose;10.25;2981;218;-1;Go;0.0;31989
dani-garcia/vaultwarden;6.06;731;57;-1;Rust;0.0;31868
photoprism/photoprism;6.12;574;65;-1;Go;0.0;31838
jgm/pandoc;13.98;1528;132;-1;Haskell;0.0;31803
hankcs/HanLP;9.42;77;57;-1;Python;0.0;31767
microsoft/DeepSpeed;4.13;2075;72;-1;Python;0.0;31761
xkcoding/spring-boot-demo;6.33;15;0;0;Java;0.0;31729
tldraw/tldraw;2.84;1443;18;-1;TypeScript;0.0;31697
markedjs/marked;12.64;1272;127;-1;JavaScript;0.0;31580
zhongyang219/TrafficMonitor;6.61;43;24;-1;C++;0.0;31545
halfrost/LeetCode-Go;6.65;173;4;-1;Go;0.0;31536
lapce/lapce;6.09;965;28;-1;Rust;0.0;31477
Trinea/android-open-project;10.18;204;0;0;;0.0;31468
PKUanonym/REKCARC-TSC-UHT;4.93;144;0;-1;HTML;0.0;31433
files-community/Files;5.18;4660;110;-1;C#;0.0;31404
httpie/cli;12.04;398;45;-1;Python;0.0;31360
goabstract/Awesome-Design-Tools;5.07;283;0;-1;JavaScript;0.0;31348
bevyengine/bevy;4.14;2359;21;-1;Rust;0.0;31294
typicode/husky;9.72;247;72;-1;JavaScript;0.0;31256
harness/gitness;10.09;1012;36;0;Go;0.0;31222
laravel/framework;11.16;14666;691;-1;PHP;0.0;31122
bayandin/awesome-awesomeness;9.68;197;0;-1;Ruby;0.0;31111
sharkdp/fd;6.84;534;37;-1;Rust;0.0;31037
appsmithorg/appsmith;3.69;10769;214;-1;TypeScript;0.0;31012
blueimp/jQuery-File-Upload;13.28;119;0;0;PHP;0.0;30991
suno-ai/bark;0.92;19;0;-1;Jupyter Notebook;0.0;30922
bigskysoftware/htmx;3.9;663;17;-1;JavaScript;0.0;30911
halo-dev/halo;5.97;1744;160;-1;Java;0.0;30811
TheAlgorithms/JavaScript;6.66;767;0;-1;JavaScript;0.0;30776
ccxt/ccxt;6.82;10174;1;-1;Python;0.0;30749
hasura/graphql-engine;5.73;2109;249;0;TypeScript;0.0;30729
beego/beego;12.03;1258;28;-1;Go;0.0;30725
gofiber/fiber;4.15;1362;117;-1;Go;0.0;30722
certbot/certbot;9.33;3732;50;-1;Python;0.0;30683
solidjs/solid;5.88;333;34;-1;TypeScript;0.0;30661
The-Run-Philosophy-Organization/run;1.92;172;0;-1;;0.0;30659
streamlit/streamlit;4.55;3526;74;-1;Python;0.0;30623
alibaba/easyexcel;6.09;165;9;-1;Java;0.0;30567
alebcay/awesome-shell;9.68;307;0;-1;;0.0;30557
Ryujinx/Ryujinx;6.09;2804;0;-1;C#;0.0;30502
slidevjs/slidev;2.88;384;307;-1;TypeScript;0.0;30454
mqyqingfeng/Blog;6.99;3;0;-1;;0.0;30301
ray-project/ray;7.37;21301;79;-1;Python;0.0;30260
Binaryify/NeteaseCloudMusicApi;7.72;292;0;-1;;0.0;30258
1c7/chinese-independent-developer;6.47;185;0;-1;;0.0;30238
fastify/fastify;7.45;2610;279;-1;JavaScript;0.0;30217
sqlmapproject/sqlmap;11.71;161;9;-1;Python;0.0;30118
ziadoz/awesome-php;10.29;419;0;-1;;0.0;30099
fengdu78/Coursera-ML-AndrewNg-Notes;6.35;13;0;-1;HTML;0.0;30066
karpathy/nanoGPT;1.2;42;0;-1;Python;0.0;30038
ReactiveX/rxjs;8.99;2584;2;-1;TypeScript;0.0;30019
alibaba/p3c;6.72;62;0;-1;Kotlin;0.0;30010
lib-pku/libpku;5.3;22;0;-1;TeX;0.0;29981
amix/vimrc;11.78;107;0;0;Vim Script;0.0;29949
joshbuchea/HEAD;7.89;86;0;0;;0.0;29842
Chanzhaoyu/chatgpt-web;1.08;154;43;-1;Vue;0.0;29834
ityouknow/spring-boot-examples;7.35;7;0;-1;Java;0.0;29810
localsend/localsend;1.23;343;16;-1;Dart;0.0;29773
vuejs/vue-cli;8.21;1258;177;0;JavaScript;0.0;29753
mathiasbynens/dotfiles;12.52;44;0;-1;Shell;0.0;29683
swc-project/swc;6.22;4411;407;-1;Rust;0.0;29678
yewstack/yew;6.23;1673;35;-1;MDX;0.0;29650
saadeghi/daisyui;3.28;254;22;-1;Svelte;0.0;29608
foundation/foundation-sites;12.41;2950;78;0;HTML;0.0;29602
niklasvh/html2canvas;12.66;186;45;-1;TypeScript;0.0;29578
airbnb/lottie-web;9.05;128;0;-1;JavaScript;0.0;29511
termux/termux-app;8.38;141;89;-1;Java;0.0;29489
CMU-Perceptual-Computing-Lab/openpose;6.88;173;15;-1;C++;0.0;29476
microsoft/AI-For-Beginners;3.02;101;0;-1;Jupyter Notebook;0.0;29466
ibraheemdev/modern-unix;3.16;10;0;-1;;0.0;29433
pcottle/learnGitBranching;11.58;552;0;-1;JavaScript;0.0;29413
hashicorp/vault;9.04;16937;130;0;Go;0.0;29397
ariya/phantomjs;13.21;562;0;0;C++;0.0;29387
Asabeneh/30-Days-Of-Python;4.3;42;0;-1;Python;0.0;29374
nushell/nushell;4.83;5878;87;-1;Rust;0.0;29350
react-boilerplate/react-boilerplate;9.06;715;16;-1;JavaScript;0.0;29342
colinhacks/zod;4.01;390;79;-1;TypeScript;0.0;29331
SimplifyJobs/Summer2024-Internships;3.79;1667;0;-1;;0.0;29310
geekcomputers/Python;12.28;1376;0;-1;Python;0.0;29299
2dust/v2rayNG;4.82;182;166;-1;Kotlin;0.0;29295
ziglang/zig;8.6;7161;15;-1;Zig;0.0;29277
0xAX/linux-insides;9.18;572;0;-1;Python;0.0;29249
docker/awesome-compose;4.07;148;0;-1;HTML;0.0;29233
QuivrHQ/quivr;0.82;1083;222;-1;TypeScript;0.0;29213
lukehoban/es6features;10.02;41;0;0;;0.0;29199
CSSEGISandData/COVID-19;4.09;2152;0;-1;;0.0;29192
elsewhencode/project-guidelines;6.7;113;0;-1;JavaScript;0.0;29159
symfony/symfony;14.18;21807;486;-1;PHP;0.0;29154
zsh-users/zsh-autosuggestions;10.37;112;0;-1;Shell;0.0;29141
vercel/swr;4.36;744;111;-1;TypeScript;0.0;29083
square/leakcanary;8.87;891;35;-1;Kotlin;0.0;29060
huggingface/pytorch-image-models;5.1;314;55;-1;Python;0.0;29042
IanLunn/Hover;10.19;23;10;0;SCSS;0.0;29035
reworkd/AgentGPT;0.92;537;12;-1;TypeScript;0.0;29021
run-llama/llama_index;1.35;3545;264;-1;Python;0.0;29007
SeleniumHQ/selenium;11.15;1828;91;-1;Java;0.0;28967
sequelize/sequelize;13.64;4639;472;-1;JavaScript;0.0;28948
python-poetry/poetry;6.03;1962;132;-1;Python;0.0;28920
ryanhanwu/How-To-Ask-Questions-The-Smart-Way;8.95;97;0;-1;JavaScript;0.0;28888
logseq/logseq;3.8;2871;145;-1;Clojure;0.0;28884
facebookresearch/fairseq;6.53;226;16;-1;Python;0.0;28856
aosabook/500lines;10.35;175;0;0;JavaScript;0.0;28855
jellyfin/jellyfin;5.25;3748;66;-1;C#;0.0;28834
yunjey/pytorch-tutorial;7.0;28;0;-1;Python;0.0;28813
standard/standard;9.12;412;5;-1;JavaScript;0.0;28808
webtorrent/webtorrent;10.41;839;164;-1;JavaScript;0.0;28803
ianstormtaylor/slate;7.73;1803;165;-1;TypeScript;0.0;28782
cockroachdb/cockroach;10.09;53005;0;-1;Go;0.0;28765
ehang-io/nps;5.35;74;59;-1;Go;0.0;28761
TheAlgorithms/C-Plus-Plus;7.65;594;0;-1;C++;0.0;28760
helix-editor/helix;3.77;3159;24;-1;Rust;0.0;28710
apolloconfig/apollo;8.02;1363;39;-1;Java;0.0;28689
geekan/HowToLiveLonger;1.9;13;0;0;;0.0;28685
alibaba/nacos;5.74;2626;62;-1;Java;0.0;28673
ggerganov/whisper.cpp;1.45;439;13;-1;C;0.0;28664
layui/layui;8.47;392;117;0;JavaScript;0.0;28648
kilimchoi/engineering-blogs;8.74;681;0;-1;Ruby;0.0;28631
toeverything/AFFiNE;1.61;3398;235;-1;TypeScript;0.0;28628
microsoft/calculator;5.11;822;0;-1;C++;0.0;28617
jqlang/jq;11.65;508;13;-1;C;0.0;28577
qishibo/AnotherRedisDesktopManager;5.17;136;47;-1;JavaScript;0.0;28552
donnemartin/interactive-coding-challenges;8.87;176;0;-1;Python;0.0;28503
tatsu-lab/stanford_alpaca;1.0;6;0;-1;Python;0.0;28472
shengxinjing/programmer-job-blacklist;7.71;28;0;-1;Shell;0.0;28466
SortableJS/Sortable;10.23;245;26;0;JavaScript;0.0;28440
tastejs/todomvc;12.77;753;6;0;JavaScript;0.0;28422
coolsnowwolf/lede;6.51;1883;6;-1;C;0.0;28420
explosion/spaCy;9.69;3531;122;0;Python;0.0;28412
spacedriveapp/spacedrive;2.45;1471;11;-1;TypeScript;0.0;28404
kodecocodes/swift-algorithm-club;8.12;608;0;0;Swift;0.0;28365
microsoft/generative-ai-for-beginners;0.72;185;0;-1;Jupyter Notebook;0.0;28359
DIYgod/RSSHub;5.94;7772;0;-1;TypeScript;0.0;28358
vuejs/vuex;8.65;655;51;-1;JavaScript;0.0;28342
portainer/portainer;7.81;4271;111;-1;TypeScript;0.0;28296
codepath/android_guides;10.73;10;0;0;;0.0;28250
zed-industries/zed;3.05;3974;428;-1;Rust;0.0;28244
herrbischoff/awesome-macos-command-line;8.47;104;0;-1;;0.0;28239
facebookresearch/detectron2;4.51;0;10;-1;Python;0.0;28236
kenwheeler/slick;9.97;238;48;0;JavaScript;0.0;28223
VincentGarreau/particles.js;9.51;21;6;-1;JavaScript;0.0;28204
AykutSarac/jsoncrack.com;2.1;72;20;-1;TypeScript;0.0;28189
trailofbits/algo;7.82;523;2;0;Jinja;0.0;28180
doocs/leetcode;5.48;2179;19;-1;Java;0.0;28178
floating-ui/floating-ui;7.95;947;401;-1;TypeScript;0.0;28155
composer/composer;12.76;2765;193;0;PHP;0.0;28147
parallax/jsPDF;14.26;700;32;-1;JavaScript;0.0;28141
kubernetes/minikube;7.9;7415;145;-1;Go;0.0;28130
postcss/postcss;10.46;720;247;0;TypeScript;0.0;28111
labstack/echo;9.03;558;103;-1;Go;0.0;28086
jashkenas/backbone;13.45;879;0;-1;JavaScript;0.0;28076
dromara/hutool;9.91;394;139;-1;Java;0.0;28066
karanpratapsingh/system-design;1.56;11;0;-1;;0.0;28063
expo/expo;7.57;11908;0;-1;TypeScript;0.0;28059
comfyanonymous/ComfyUI;1.14;327;1;-1;Python;0.0;28057
caolan/async;13.78;507;7;-1;JavaScript;0.0;28047
AMAI-GmbH/AI-Expert-Roadmap;3.37;13;0;-1;JavaScript;0.0;28021
OAI/OpenAPI-Specification;10.02;863;10;-1;JavaScript;0.0;27979
Ebazhanov/linkedin-skill-assessments-quizzes;4.66;5574;1;-1;;0.0;27958
transloadit/uppy;8.32;2522;76;-1;TypeScript;0.0;27937
SerenityOS/serenity;5.27;17387;0;-1;C++;0.0;27933
veggiemonk/awesome-docker;9.47;897;1;-1;;0.0;27904
TeamNewPipe/NewPipe;8.52;1506;128;-1;Java;0.0;27875
jobbole/awesome-python-cn;8.35;51;0;-1;Makefile;0.0;27845
acheong08/ChatGPT;1.26;294;277;0;Python;0.0;27836
lukasz-madon/awesome-remote-job;9.19;549;0;-1;;0.0;27777
mattermost/mattermost;8.74;15443;498;-1;TypeScript;0.0;27742
GoogleChrome/lighthouse;8.01;5101;107;-1;JavaScript;0.0;27699
calcom/cal.com;2.96;6255;230;-1;TypeScript;0.0;27674
hashicorp/consul;10.35;12771;165;-1;Go;0.0;27632
lovell/sharp;10.56;273;81;-1;JavaScript;0.0;27628
ZuzooVn/machine-learning-for-software-engineers;7.42;58;0;-1;;0.0;27603
coqui-ai/TTS;3.8;467;98;-1;Python;0.0;27598
wuyouzhuguli/SpringAll;5.86;1;0;-1;Java;0.0;27589
alibaba/druid;12.36;1216;49;-1;Java;0.0;27566
cheeriojs/cheerio;12.42;2069;57;0;TypeScript;0.0;27549
jaywcjlove/linux-command;7.32;305;26;-1;Markdown;0.0;27490
alibaba/canal;11.16;440;29;0;Java;0.0;27484
remoteintech/remote-jobs;8.41;1201;0;-1;JavaScript;0.0;27417
influxdata/influxdb;10.45;9698;81;-1;Rust;0.0;27409
balena-io/etcher;8.37;1705;267;-1;TypeScript;0.0;27386
realpython/python-guide;12.99;681;0;-1;Batchfile;0.0;27362
gradio-app/gradio;5.22;3008;427;-1;Python;0.0;27360
facebookresearch/faiss;7.08;135;16;-1;C++;0.0;27270
danielgindi/Charts;8.98;418;38;0;Swift;0.0;27261
encode/django-rest-framework;13.03;2912;17;-1;Python;0.0;27248
open-mmlab/mmdetection;5.55;2358;53;-1;Python;0.0;27247
Advanced-Frontend/Daily-Interview-Question;5.14;15;0;-1;JavaScript;0.0;27227
zeromicro/go-zero;3.59;1865;103;-1;Go;0.0;27220
jashkenas/underscore;14.38;743;0;-1;JavaScript;0.0;27219
pnpm/pnpm;8.12;1991;909;0;TypeScript;0.0;27215
pmndrs/react-spring;6.01;402;48;-1;TypeScript;0.0;27190
fabricjs/fabric.js;13.76;2103;138;-1;JavaScript;0.0;27139
JedWatson/react-select;9.54;1040;54;-1;TypeScript;0.0;27127
v2fly/v2ray-core;4.9;739;79;-1;Go;0.0;27111
mobxjs/mobx;8.99;1091;96;0;TypeScript;0.0;27087
nagadomi/waifu2x;8.82;68;3;-1;Lua;0.0;27067
alibaba/spring-cloud-alibaba;6.27;954;38;-1;Java;0.0;27064
crossoverJie/JCSprout;6.23;69;0;-1;Java;0.0;27063
Tencent/weui;9.23;195;44;0;Less;0.0;27045
facebook/rocksdb;11.28;601;184;-1;C++;0.0;27041
AllThingsSmitty/css-protips;8.53;66;0;-1;;0.0;27039
ShareX/ShareX;10.42;735;76;-1;C#;0.0;27037
immich-app/immich;2.09;2928;172;-1;TypeScript;0.0;27033
Homebrew/legacy-homebrew;14.81;222;0;-1;;0.0;27028
lllyasviel/ControlNet;1.1;5;0;-1;Python;0.0;27021
GitHubDaily/GitHubDaily;5.19;3;0;-1;;0.0;27017
ascoders/weekly;6.98;135;190;-1;JavaScript;0.0;27012
apache/kafka;12.57;7898;0;-1;Java;0.0;26979
google/jax;5.37;8617;97;-1;Python;0.0;26964
YMFE/yapi;7.78;141;1;0;JavaScript;0.0;26948
digitalocean/nginxconfig.io;6.18;180;0;0;JavaScript;0.0;26900
remix-run/remix;3.37;3015;136;-1;TypeScript;0.0;26871
facebook/folly;11.78;5;177;-1;C++;0.0;26849
tqdm/tqdm;8.77;279;125;-1;Python;0.0;27135
lenve/vhr;6.18;1;0;-1;Java;0.0;26819
fzaninotto/Faker;12.41;823;12;-1;PHP;0.0;26787
typst/typst;4.46;866;14;-1;Rust;0.0;26765
Awesome-Windows/Awesome;7.78;206;0;-1;;0.0;26748
immerjs/immer;6.2;353;106;0;JavaScript;0.0;26717
geekcompany/ResumeSample;9.51;2;0;1;;0.0;26702
houshanren/hangzhou_house_knowledge;6.04;6;0;2;CSS;0.0;26682
ageron/handson-ml2;5.17;64;0;-1;Jupyter Notebook;0.0;26641
angular/angular-cli;8.77;9594;685;0;TypeScript;0.0;26577
viraptor/reverse-interview;4.5;72;0;-1;;0.0;26569
wesbos/JavaScript30;7.25;151;0;-1;HTML;0.0;26518
GorvGoyl/Clone-Wars;3.27;127;0;-1;;0.0;26503
Automattic/mongoose;13.93;2846;124;-1;JavaScript;0.0;26498
codemirror/codemirror5;13.16;589;171;-1;JavaScript;0.0;26491
nvie/gitflow;14.14;36;0;0;Shell;0.0;26465
rethinkdb/rethinkdb;11.36;460;72;0;C++;0.0;26465
alpinejs/alpine;4.28;607;124;-1;HTML;0.0;26435
qier222/YesPlayMusic;3.42;272;30;-1;Vue;0.0;26424
Lightning-AI/pytorch-lightning;4.95;8520;151;-1;Python;0.0;26407
pbatard/rufus;12.31;1;79;-1;C;0.0;26396
jamiebuilds/the-super-tiny-compiler;8.0;20;0;0;JavaScript;0.0;26359
ajaxorg/ace;13.38;1738;69;0;JavaScript;0.0;26295
docsifyjs/docsify;7.3;634;14;0;JavaScript;0.0;26291
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers;11.15;243;0;0;Jupyter Notebook;0.0;26258
donnemartin/data-science-ipython-notebooks;9.13;31;0;-1;Python;0.0;26235
xuxueli/xxl-job;8.28;98;32;-1;Java;0.0;26211
codex-team/editor.js;8.28;781;68;-1;TypeScript;0.0;26210
cfenollosa/os-tutorial;9.45;11;0;0;C;0.0;26177
GitbookIO/gitbook;9.95;214;0;-1;JavaScript;0.0;26168
OWASP/CheatSheetSeries;5.22;823;0;-1;Python;0.0;26112
facebookresearch/Detectron;6.43;0;0;1;Python;0.0;26104
ToolJet/ToolJet;2.95;4165;166;-1;JavaScript;0.0;26103
google/python-fire;7.05;76;9;-1;Python;0.0;26062
k3s-io/k3s;5.78;3117;696;-1;Go;0.0;26050
Pierian-Data/Complete-Python-3-Bootcamp;6.07;12;0;-1;Jupyter Notebook;0.0;26029
qiurunze123/miaosha;5.49;20;0;1;Java;0.0;26012
go-kit/kit;9.1;478;13;-1;Go;0.0;25994
schollz/croc;6.39;169;148;-1;Go;0.0;25989
aseprite/aseprite;9.56;237;100;-1;C++;0.0;25950
numpy/numpy;13.49;11116;109;-1;Python;0.0;25944
tj/commander.js;12.58;706;78;-1;JavaScript;0.0;25918
remy/nodemon;13.44;303;93;-1;JavaScript;0.0;25916
penpot/penpot;8.2;2492;36;-1;Clojure;0.0;25901
statelyai/xstate;8.49;1783;332;-1;TypeScript;0.0;25896
milvus-io/milvus;4.48;16657;364;-1;Go;0.0;25877
microsoft/Data-Science-For-Beginners;3.02;293;0;-1;Jupyter Notebook;0.0;25845
backstage/backstage;4.12;14400;309;-1;TypeScript;0.0;25804
rstacruz/nprogress;10.56;34;7;0;JavaScript;0.0;25801
JakeChampion/fetch;9.41;196;56;0;JavaScript;0.0;25799
helm/helm;8.43;3558;186;-1;Go;0.0;25793
bvaughn/react-virtualized;8.35;453;5;-1;JavaScript;0.0;25787
dokku/dokku;10.76;3351;267;-1;Shell;0.0;25786
select2/select2;12.02;708;29;0;JavaScript;0.0;25765
maybe-finance/maybe;0.18;215;0;-1;Ruby;0.0;25754
OpenBB-finance/OpenBBTerminal;3.22;3497;30;-1;Python;0.0;25738
eugeneyan/applied-ml;3.68;207;0;-1;;0.0;25732
hashicorp/vagrant;14.14;2669;120;0;Ruby;0.0;25719
usememos/memos;2.25;1264;61;-1;Go;0.0;25680
request/request;13.13;650;0;-1;JavaScript;0.0;25658
servo/servo;12.09;15795;0;-1;;0.0;25655
lutzroeder/netron;13.21;1;3;-1;JavaScript;0.0;25629
Modernizr/Modernizr;14.46;805;25;0;JavaScript;0.0;25604
ggreer/the_silver_searcher;12.31;399;0;-1;C;0.0;25602
alibaba/fastjson;12.36;418;84;1;Java;0.0;25588
JakeWharton/butterknife;11.02;346;0;0;Java;0.0;25579
vadimdemedes/ink;6.75;201;50;-1;TypeScript;0.0;25541
pmndrs/react-three-fiber;5.04;563;93;-1;TypeScript;0.0;25504
MonitorControl/MonitorControl;6.48;202;24;-1;Swift;0.0;25499
zhiwehu/Python-programming-exercises;11.74;0;0;-1;;0.0;25487
cmderdev/cmder;10.67;420;33;-1;C++;0.0;25481
dwmkerr/hacker-laws;6.12;174;1;-1;Shell;0.0;25479
huiyadanli/RevokeMsgPatcher;4.64;8;17;-1;C#;0.0;25476
facebookresearch/fastText;7.65;12;4;0;HTML;0.0;25473
michalsnik/aos;8.67;38;0;-1;JavaScript;0.0;25428
mpv-player/mpv;11.41;2268;84;-1;C;0.0;25419
mlabonne/llm-course;0.73;1;0;-1;Jupyter Notebook;0.0;25407
spf13/viper;9.94;390;27;-1;Go;0.0;25404
xinntao/Real-ESRGAN;2.64;21;10;-1;Python;0.0;25399
dmlc/xgboost;10.09;4042;56;-1;C++;0.0;25383
linexjlin/GPTs;0.33;37;0;-1;;0.0;25379
fastai/fastai;6.5;1675;51;-1;Jupyter Notebook;0.0;25359
MichaelCade/90DaysOfDevOps;2.2;340;2;-1;Shell;0.0;25327
JushBJJ/Mr.-Ranedeer-AI-Tutor;0.94;19;3;-1;;0.0;25319
swagger-api/swagger-ui;12.66;2926;320;0;JavaScript;0.0;25281
powerline/fonts;11.23;72;1;-1;Shell;0.0;25241
mongodb/mongo;15.15;125;0;-1;C++;0.0;25210
sampotts/plyr;9.07;382;88;-1;JavaScript;0.0;25206
